EventTemplate,Occurrences
"rm.api.weibo.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
www.weibo.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"www.weibo.com <*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",1
"www.weibo.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"people-pa.clients6.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",1
"notifications.google.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"data.grammarly.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",1
"github.com <*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",1
"github.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"client-channel.google.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"assets-cdn.github.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
mmbiz.qpic.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
tools.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"dict.youdao.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"assets-cdn.github.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"clients2.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",1
gm1.ggpht.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"live.github.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",1
assets-cdn.github.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"drive-thirdparty.googleusercontent.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"csi.gstatic.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
video-hkg3-<*>.xx.fbcdn.net:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"github.com <*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",1
auth.grammarly.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"avatars1.githubusercontent.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",1
avatars2.githubusercontent.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
www.ieeeconfpublishing.org:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"dblp.uni-trier.de:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"avatars3.githubusercontent.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",1
"accounts.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",1
"avatars.githubusercontent.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
www.googletagmanager.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"secure.quantserve.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
www.google.com:<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,1
awqiizxequsixgr:<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,1
www.baidu.com:<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,1
wpad:<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,1
www.qq.com:<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,1
t11.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
b1.bdstatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"update.hicloud.com:<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",1
"cpro.baidustatic.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"intf.zsall.mobilem.<*>.cn:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
csdnimg.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
beacon.tingyun.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"blog.csdn.net:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"static.blog.csdn.net:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"eclick.baidu.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"beacon.tingyun.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",1
"csdnimg.cn:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"engine.adzerk.net:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"ogs.google.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"scorecardresearch.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",1
"www.google.com.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"play.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",1
"trello.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",1
get.sogou.com:<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,1
"short.weixin.qq.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <1 sec",1
"securepubads.g.doubleclick.net:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"close, <*> bytes sent, <*> bytes received, lifetime <*> sec",1
"hangouts.google.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
xf-com-update-doctor <*> open through proxy <*> HTTPS,1
"fs-conn-doctor.qq.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",1
"fs-conn-doctor.qq.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>.</s>",1
cm.g.doubleclick.net:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"suggestion.baidu.com:<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>.</s>",1
"eclick.baidu.com:<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>.</s>",1
input.shouji.sogou.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
www.googleadservices.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"s.youtube.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"tc.dl.pinyin.sogoucdn.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"clients5.google.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"ogs.google.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
r2---sn-i3b7kne6.googlevideo.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"static.doubleclick.net:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>.</s>",1
"yt3.ggpht.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
r3---sn-i3belnez.googlevideo.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
securepubads.g.doubleclick.net:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
i1.ytimg.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
static.zhihu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
<*>-edge-chat.facebook.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"fonts.gstatic.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"www.zhihu.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"video-hkg3-<*>.xx.fbcdn.net:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> MB) received, lifetime <*>",1
"ssl.google-analytics.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"avatars0.githubusercontent.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"avatars0.githubusercontent.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
go.microsoft.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
rssgov.windows.microsoft.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"go.microsoft.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"ClientChannel <*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"www.google.com.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>.</s>",1
"info.pinyin.sogou.com:<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>.</s>",1
config.pinyin.sogou.com:<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,1
client-<*> error : A connection request was canceled before the completion.,1
hangouts.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"client-lb.dropbox.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"dict.youdao.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"clients2.google.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"config.pinyin.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
qdun-data.qq.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"www.googleadservices.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",1
"ClientChannel <*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",1
client-cf.dropbox.com:<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,1
mtalk.google.com:<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,1
client-lb.dropbox.com:<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,1
"bolt.dropbox.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",1
"info.pinyin.sogou.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"client-cf.dropbox.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
"ClientChannel <*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",1
www.googleapis.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
css.sohu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
xy.brand.sogou.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
src.wei.focus.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
bx.optimix.asia:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"txt.go.sohu.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"css.sohu.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
crl.microsoft.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"cdn.e9377f.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
v.admaster.com.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
at.mct01.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
ping.pinyin.sogou.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
s2.googleusercontent.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
www.youtube.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
r2---sn-i3b7kn7r.googlevideo.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"qdun-data.qq.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",1
"www.gstatic.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",1
"yt3.ggpht.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",1
drive-thirdparty.googleusercontent.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
drive.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
"clients4.google.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"www.zhihu.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
"imgsrc.baidu.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>.</s>",1
pagead2.googlesyndication.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
fclick.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
q1.cnzz.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
